DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter366,Chlorzoxazone,DDInter1,Abacavir,Minor
DDInter1451,Phenylbutazone,DDInter582,Dolutegravir,Minor
DDInter1726,Sulfinpyrazone,DDInter582,Dolutegravir,Minor
DDInter1961,Zidovudine,DDInter500,Denosumab,Moderate
DDInter1961,Zidovudine,DDInter537,Diclofenac,Moderate
DDInter1961,Zidovudine,DDInter699,Etodolac,Moderate
DDInter1961,Zidovudine,DDInter721,Fenoprofen,Moderate
DDInter1961,Zidovudine,DDInter763,Flurbiprofen,Moderate
DDInter1961,Zidovudine,DDInter900,Ibuprofen,Moderate
DDInter921,Indomethacin,DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter1009,Ketoprofen,Moderate
DDInter1010,Ketorolac,DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter1139,Mefenamic acid,Moderate
DDInter1961,Zidovudine,DDInter1143,Meloxicam,Moderate
DDInter1254,Nabumetone,DDInter1961,Zidovudine,Moderate
DDInter1961,Zidovudine,DDInter1266,Naproxen,Moderate
DDInter1961,Zidovudine,DDInter1419,Penicillamine,Moderate
DDInter1961,Zidovudine,DDInter1451,Phenylbutazone,Moderate
DDInter1961,Zidovudine,DDInter1478,Piroxicam,Moderate
DDInter1961,Zidovudine,DDInter1522,Probenecid,Moderate
DDInter1961,Zidovudine,DDInter1729,Sulindac,Moderate
DDInter431,Colchicine,DDInter3,Abametapir (topical),Moderate
DDInter454,Cyclobenzaprine,DDInter3,Abametapir (topical),Moderate
DDInter537,Diclofenac,DDInter3,Abametapir (topical),Moderate
DDInter676,Esomeprazole,DDInter3,Abametapir (topical),Moderate
DDInter1143,Meloxicam,DDInter3,Abametapir (topical),Moderate
DDInter1254,Nabumetone,DDInter3,Abametapir (topical),Moderate
DDInter1266,Naproxen,DDInter3,Abametapir (topical),Moderate
DDInter1557,Quinine,DDInter3,Abametapir (topical),Moderate
DDInter1559,Rabeprazole,DDInter3,Abametapir (topical),Moderate
DDInter1821,Tizanidine,DDInter3,Abametapir (topical),Moderate
DDInter1910,Valdecoxib,DDInter3,Abametapir (topical),Moderate
